172.168.10.1 172.168.10.10 北京市
172.168.10.11 172.168.10.19 天津市
172.168.10.20 172.168.10.29 沈阳市
172.168.10.30 172.168.10.39 吉林市
172.168.10.40 172.168.10.49 鹤岗市
172.168.10.50 172.168.10.59 辽源市
172.168.10.60 172.168.10.69 通辽市
172.168.10.70 172.168.10.79 鸡西市
172.168.10.80 172.168.10.89 济南市
172.168.10.90 172.168.10.99 青岛市
172.168.10.100 172.168.10.110 东营市
172.168.10.111 172.168.10.119 威海市
172.168.10.120 172.168.10.129 郑州市
172.168.10.130 172.168.10.139 邯郸市
172.168.10.140 172.168.10.149 西宁市
172.168.10.150 172.168.10.159 海口市
172.168.10.160 172.168.10.169 高雄市
172.168.10.170 172.168.10.179 上海市
172.168.10.180 172.168.10.189 杭州市
172.168.10.190 172.168.10.120 余杭市
172.168.10.200 172.168.10.209  文山州
172.168.10.210 172.168.10.219 宜春市
172.168.10.220 172.168.10.229 本溪市
172.168.10.230 172.168.10.239 铁岭市
172.168.10.240 172.168.10.249 营口市
172.168.10.250 172.168.10.254 阳泉市
